Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
sptree_tkset,16896,100.0,26136565,28890.45,59132500,16895,67580,109.5,441603402240,488133043.2,999102720000,285457920,1141831680
mgtree_tkset,16896,100.0,31272645,41392.75,82785500,16895,135160,154.5,528382609920,699371904.0,1398743808000,285457920,2283663360
pe_tkset,16896,86.21,20777,26.45,72500,12,68,56.8,351048192,446899.2,1224960000,202752,1148928
sptree_flgset,16896,100.0,26136565,28890.45,59132500,16895,67580,109.5,441603402240,488133043.2,999102720000,285457920,1141831680
mgtree_flgset,16896,100.0,31272645,41392.75,82785500,16895,135160,154.5,528382609920,699371904.0,1398743808000,285457920,2283663360
mgtree_errmatch,2,100.0,31272645,41392.75,82785500,16895,135160,154.5,62545290,82785.5,165571000,33790,270320
edu_ctrl,1,32.59,2159472,2705.45,6129200,1190,6696,501.55999999999995,2159472,2705.45,6129200,1190,6696
fifo_ctrl_pibuf,1,32.64,389251,490.52,1148700,214,1224,230.6,389251,490.52,1148700,214,1224
ndroram_pibuf,66,86.21,2252562,2760.98,6926800,1330,6886,0.0,148669092,182224.68,457168800,87780,454476
demux_pibuf,66,86.21,903811,1077.6,2657600,583,2556,122.5,59651526,71121.59999999999,175401600,38478,168696
srmem_eduloc,5,56.82,1818907,2230.49,3818700,1028,5161,0.0,9094535,11152.449999999999,19093500,5140,25805
educell_predecoder,66,32.57,7703210,9511.57,25980400,4449,23619,616.8599999999999,508411860,627763.62,1714706400,293634,1558854
ndronw_predec,16896,99.01,520868,623.88,1577600,328,1504,0.0,8800585728,10541076.48,26655129600,5541888,25411584
edu_nexterr,16896,32.57,130818,173.58,507400,74,384,153.1,2210300928,2932807.68,8573030400,1250304,6488064
educell_esmunit_idx,16896,86.21,115721,146.26,369700,65,376,90.3,1955222016,2471208.96,6246451200,1098240,6352896
educell_decoder,16896,32.59,2800846,3490.54,8166000,1595,8610,585.94,47323094016,58976163.839999996,137972736000,26949120,145474560
educell_syndir,16896,86.21,258326,322.47,907300,150,806,138.72,4364676096,5448453.12,15329740800,2534400,13618176
educell_spikegen,16896,86.21,433329,537.69,1395300,250,1323,174.33999999999997,7321526784,9084810.24,23574988800,4224000,22353408
educell_syndromegen,16896,86.21,817258,1014.79,2826800,465,2502,193.57999999999998,13808391168,17145891.84,47761612800,7856640,42273792
ndronw_esm,16896,99.01,106439,129.87,355700,64,322,0.0,1798393344,2194283.52,6009907200,1081344,5440512
