Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
sptree_tkset,3840,100.0,5938933,6564.69,13436500,3839,15356,87.6,22805502720,25208409.599999998,51596160000,14741760,58967040
mgtree_tkset,3840,100.0,7105989,9405.55,18811100,3839,30712,123.60000000000001,27286997760,36117312.0,72234624000,14741760,117934080
pe_tkset,3840,86.21,20777,26.45,72500,12,68,56.8,79783680,101568.0,278400000,46080,261120
sptree_flgset,3840,100.0,5938933,6564.69,13436500,3839,15356,87.6,22805502720,25208409.599999998,51596160000,14741760,58967040
mgtree_flgset,3840,100.0,7105989,9405.55,18811100,3839,30712,123.60000000000001,27286997760,36117312.0,72234624000,14741760,117934080
mgtree_errmatch,2,100.0,7105989,9405.55,18811100,3839,30712,123.60000000000001,14211978,18811.1,37622200,7678,61424
edu_ctrl,1,32.59,2159472,2705.45,6129200,1190,6696,501.55999999999995,2159472,2705.45,6129200,1190,6696
fifo_ctrl_pibuf,1,32.64,389251,490.52,1148700,214,1224,230.6,389251,490.52,1148700,214,1224
ndroram_pibuf,15,86.21,2252562,2760.98,6926800,1330,6886,0.0,33788430,41414.7,103902000,19950,103290
demux_pibuf,15,86.21,903811,1077.6,2657600,583,2556,122.5,13557165,16163.999999999998,39864000,8745,38340
srmem_eduloc,5,56.82,1818907,2230.49,3818700,1028,5161,0.0,9094535,11152.449999999999,19093500,5140,25805
educell_predecoder,15,32.57,7703210,9511.57,25980400,4449,23619,616.8599999999999,115548150,142673.55,389706000,66735,354285
ndronw_predec,3840,99.01,520868,623.88,1577600,328,1504,0.0,2000133120,2395699.2,6057984000,1259520,5775360
edu_nexterr,3840,32.57,130818,173.58,507400,74,384,153.1,502341120,666547.2000000001,1948416000,284160,1474560
educell_esmunit_idx,3840,86.21,115721,146.26,369700,65,376,90.3,444368640,561638.3999999999,1419648000,249600,1443840
educell_decoder,3840,32.59,2533939,3147.79,7331000,1448,7728,547.96,9730325760,12087513.6,28151040000,5560320,29675520
educell_syndir,3840,86.21,258326,322.47,907300,150,806,138.72,991971840,1238284.8,3484032000,576000,3095040
educell_spikegen,3840,86.21,433329,537.69,1395300,250,1323,174.33999999999997,1663983360,2064729.6,5357952000,960000,5080320
educell_syndromegen,3840,86.21,817258,1014.79,2826800,465,2502,193.57999999999998,3138270720,3896793.5999999996,10854912000,1785600,9607680
ndronw_esm,3840,99.01,106439,129.87,355700,64,322,0.0,408725760,498700.80000000005,1365888000,245760,1236480
