Name,Num,Freq(GHz),Pstat(nW),Edyn(nJ/Gacc),Area(um^2),Gate,JJ,Latency(ps),Pstat_sum(nW),Edyn_sum(nJ/Gacc),Area_sum(um^2),Gate_sum,JJ_sum
edu_ctrl,1,32.59,2393200,2995.81,6559900,1309,7377,615.5,2393200,2995.81,6559900,1309,7377
fifo_ctrl_pibuf,1,32.64,389251,490.52,1148700,214,1224,230.6,389251,490.52,1148700,214,1224
ndroram_pibuf,18,86.21,2252562,2760.98,6926800,1330,6886,0.0,40546116,49697.64,124682400,23940,123948
demux_pibuf,18,86.21,903811,1077.6,2657600,583,2556,122.5,16268598,19396.8,47836800,10494,46008
srmem_eduloc,5,56.82,1818907,2230.49,3818700,1028,5161,0.0,9094535,11152.449999999999,19093500,5140,25805
educell_predecoder,18,32.57,7703210,9511.57,25980400,4449,23619,616.8599999999999,138657780,171208.26,467647200,80082,425142
ndronw_predec,4608,99.01,520868,623.88,1577600,328,1504,0.0,2400159744,2874839.04,7269580800,1511424,6930432
edu_nexterr,4608,32.57,130818,173.58,507400,74,384,153.1,602809344,799856.64,2338099200,340992,1769472
educell_esmunit_idx,4608,86.21,115721,146.26,369700,65,376,90.3,533242368,673966.08,1703577600,299520,1732608
educell_decoder,4608,32.59,2570371,3195.19,7552600,1472,7905,547.96,11844269568,14723435.52,34802380800,6782976,36426240
educell_syndir,4608,86.21,258326,322.47,907300,150,806,138.72,1190366208,1485941.7600000002,4180838400,691200,3714048
educell_spikegen,4608,86.21,433329,537.69,1395300,250,1323,174.33999999999997,1996780032,2477675.5200000005,6429542400,1152000,6096384
educell_syndromegen,4608,86.21,817258,1014.79,2826800,465,2502,193.57999999999998,3765924864,4676152.32,13025894400,2142720,11529216
ndronw_esm,4608,99.01,106439,129.87,355700,64,322,0.0,490470912,598440.96,1639065600,294912,1483776
